zmw,1,2,3,4,5,6,7,8,9,10,11
m84046_240619_124816_s1/102892998/ccs,0,0,0,0,0,0,0,0,1,1,1
m84046_240619_124816_s1/34737123/ccs,0,0,0,0,0,0,1,0,0,0,1
m84046_240619_124816_s1/123868132/ccs,0,0,0,1,0,0,1,0,0,1,1
m84046_240619_124816_s1/42731970/ccs,1,0,0,1,0,0,0,1,0,0,1
m84046_240619_124816_s1/250218401/ccs,0,0,0,0,1,0,0,0,0,0,1
m84046_240619_124816_s1/179111204/ccs,1,0,0,1,0,0,0,0,1,0,1
m84046_240619_124816_s1/76677426/ccs,1,1,0,0,0,0,1,0,0,0,1
m84046_240619_124816_s1/47319796/ccs,0,0,1,0,0,0,1,1,1,1,-1
m84046_240619_124816_s1/57869336/ccs,1,0,0,1,0,0,0,0,0,0,1
m84046_240619_124816_s1/163452128/ccs,0,0,0,0,0,0,0,1,0,0,-1
m84046_240619_124816_s1/140905928/ccs,1,0,0,1,0,0,0,0,0,1,1
m84046_240619_124816_s1/164888694/ccs,0,0,1,1,0,1,1,0,1,0,1
m84046_240619_124816_s1/67441146/ccs,0,0,0,0,0,0,0,1,0,0,1
m84046_240619_124816_s1/5768846/ccs,1,1,0,0,0,0,1,1,1,0,1
m84046_240619_124816_s1/127468691/ccs,1,1,0,0,1,0,1,1,1,1,1
m84046_240619_124816_s1/241501379/ccs,0,0,0,0,0,0,0,0,0,1,1
m84046_240619_124816_s1/176491380/ccs,0,0,0,0,0,0,0,1,1,0,1
m84046_240619_124816_s1/53740226/ccs,0,0,0,0,0,0,1,0,1,0,1
m84046_240619_124816_s1/16256368/ccs,0,0,0,0,0,0,0,0,-1,-1,1
m84046_240619_124816_s1/83429172/ccs,0,0,0,1,0,0,0,1,0,0,1
m84046_240619_124816_s1/239928685/ccs,0,0,1,0,0,1,0,0,0,0,1
m84046_240619_124816_s1/112855059/ccs,1,0,0,0,0,0,0,0,1,0,1
m84046_240619_124816_s1/65475009/ccs,0,0,0,1,0,0,0,1,1,1,1
m84046_240619_124816_s1/57738345/ccs,0,0,0,0,0,0,0,1,0,1,1
m84046_240619_124816_s1/28315422/ccs,1,1,0,0,0,0,0,0,1,0,1
m84046_240619_124816_s1/212533981/ccs,0,0,0,1,1,1,0,0,1,1,1
m84046_240619_124816_s1/211290396/ccs,0,0,0,0,0,0,0,0,1,1,1
m84046_240619_124816_s1/152372082/ccs,0,0,0,0,0,1,1,0,0,0,1
m84046_240619_124816_s1/9639051/ccs,0,0,0,0,0,0,0,0,1,1,1
m84046_240619_124816_s1/43125722/ccs,1,1,0,0,1,0,0,1,0,1,1
m84046_240619_124816_s1/246616719/ccs,0,0,0,1,0,0,0,0,1,0,1
m84046_240619_124816_s1/65472159/ccs,0,0,1,1,0,1,0,0,0,1,1
m84046_240619_124816_s1/210308042/ccs,0,0,0,1,0,0,1,0,1,1,1
m84046_240619_124816_s1/136449251/ccs,0,0,0,0,0,1,1,0,1,0,-1
m84046_240619_124816_s1/154736387/ccs,0,0,0,0,0,0,0,0,1,1,1
m84046_240619_124816_s1/191041310/ccs,0,0,0,1,0,0,0,0,1,0,1
m84046_240619_124816_s1/244847675/ccs,1,1,0,0,0,0,1,1,0,0,1
m84046_240619_124816_s1/142608229/ccs,0,0,0,0,0,0,1,0,0,0,1
m84046_240619_124816_s1/264244504/ccs,-1,-1,0,0,0,0,0,0,1,1,1
m84046_240619_124816_s1/82843334/ccs,1,1,0,1,0,0,0,0,0,1,1
m84046_240619_124816_s1/189597308/ccs,0,0,0,0,0,0,0,0,0,0,1
m84046_240619_124816_s1/17175779/ccs,1,0,0,0,0,0,0,0,1,1,-1
m84046_240619_124816_s1/66978264/ccs,1,0,0,0,0,0,0,0,1,1,1
m84046_240619_124816_s1/180619741/ccs,0,0,0,0,1,0,0,1,0,1,1
m84046_240619_124816_s1/74583231/ccs,1,0,0,0,0,0,1,1,1,0,1
m84046_240619_124816_s1/257098610/ccs,1,1,1,0,0,0,0,0,1,1,1
m84046_240619_124816_s1/72944020/ccs,0,1,1,0,0,0,1,0,0,0,1
m84046_240619_124816_s1/114559806/ccs,0,0,1,1,0,1,1,0,0,1,1
m84046_240619_124816_s1/142346197/ccs,1,0,1,0,0,0,0,0,1,0,1
m84046_240619_124816_s1/107283523/ccs,0,0,0,0,0,0,1,0,0,0,1
m84046_240619_124816_s1/108926299/ccs,1,1,1,1,0,0,0,1,0,1,1
m84046_240619_124816_s1/47781187/ccs,1,1,0,0,1,0,1,1,1,0,1
m84046_240619_124816_s1/157354913/ccs,0,0,0,0,0,0,0,1,1,0,1
m84046_240619_124816_s1/221119520/ccs,0,0,0,1,0,0,0,0,1,0,1
m84046_240619_124816_s1/200540326/ccs,1,1,0,1,1,0,0,0,1,0,1
m84046_240619_124816_s1/214110223/ccs,1,0,1,0,0,0,0,1,1,0,1
m84046_240619_124816_s1/189141154/ccs,1,0,0,1,0,0,0,1,1,0,1
m84046_240619_124816_s1/40175789/ccs,0,0,0,1,0,0,0,0,1,0,1
m84046_240619_124816_s1/163119514/ccs,1,0,0,0,1,0,0,1,1,1,1
m84046_240619_124816_s1/192285099/ccs,1,1,0,0,1,0,0,1,0,0,1
m84046_240619_124816_s1/217975327/ccs,0,0,1,0,0,1,1,0,1,0,1
m84046_240619_124816_s1/70716832/ccs,0,0,0,0,0,0,0,0,0,0,1
m84046_240619_124816_s1/37948443/ccs,0,0,0,1,0,1,0,0,0,1,1
m84046_240619_124816_s1/224854201/ccs,1,1,1,1,0,0,0,0,0,1,-1
m84046_240619_124816_s1/194710279/ccs,1,1,0,0,0,0,0,1,0,0,1
m84046_240619_124816_s1/59378234/ccs,0,0,0,0,0,0,0,0,1,0,1
m84046_240619_124816_s1/186779036/ccs,0,0,1,1,0,0,0,0,0,0,1
m84046_240619_124816_s1/44700344/ccs,0,0,1,0,0,0,1,0,0,0,1
m84046_240619_124816_s1/267194328/ccs,1,1,1,0,0,0,0,0,1,0,1
m84046_240619_124816_s1/101389497/ccs,1,1,1,1,0,0,0,0,0,1,1
m84046_240619_124816_s1/113508848/ccs,1,0,0,0,0,0,0,0,1,0,1
m84046_240619_124816_s1/78512834/ccs,1,1,0,0,1,0,0,0,0,1,1
m84046_240619_124816_s1/245830723/ccs,1,1,1,1,0,0,0,0,0,0,1
m84046_240619_124816_s1/164037021/ccs,0,0,0,0,0,0,1,1,0,0,1
m84046_240619_124816_s1/36110764/ccs,0,0,0,0,0,0,0,0,0,1,1
m84046_240619_124816_s1/180750791/ccs,1,0,0,1,0,0,1,0,0,0,1
m84046_240619_124816_s1/99157964/ccs,1,0,1,0,0,0,1,0,0,0,1
m84046_240619_124816_s1/243078541/ccs,0,0,0,1,0,1,0,0,0,1,1
m84046_240619_124816_s1/65737147/ccs,0,0,0,1,0,0,0,0,0,0,1
m84046_240619_124816_s1/101057939/ccs,1,0,0,0,0,0,0,0,1,1,1
m84046_240619_124816_s1/152180164/ccs,0,0,0,1,0,0,0,0,1,0,1
m84046_240619_124816_s1/241894460/ccs,1,1,0,1,0,0,0,0,0,1,1
m84046_240619_124816_s1/187237832/ccs,0,0,0,0,0,0,0,0,0,0,1
m84046_240619_124816_s1/189404347/ccs,1,0,1,1,0,0,0,0,0,0,1
m84046_240619_124816_s1/145097228/ccs,1,0,0,0,0,0,0,0,1,1,-1
m84046_240619_124816_s1/13307851/ccs,0,0,0,1,0,0,0,0,0,0,1
m84046_240619_124816_s1/167250751/ccs,1,1,0,0,0,0,0,0,0,-1,0
m84046_240619_124816_s1/170331849/ccs,1,0,0,0,1,0,0,0,0,1,1
m84046_240619_124816_s1/238092909/ccs,0,0,0,1,0,1,0,0,1,1,1
m84046_240619_124816_s1/84217612/ccs,0,0,0,0,0,0,0,1,0,0,1
m84046_240619_124816_s1/147068073/ccs,1,1,0,0,0,0,1,0,0,0,1
m84046_240619_124816_s1/85987751/ccs,0,0,0,1,0,1,1,0,1,0,1
m84046_240619_124816_s1/144446874/ccs,0,0,0,0,0,0,1,0,0,1,1
m84046_240619_124816_s1/90248427/ccs,0,0,0,0,0,0,1,0,0,0,1
m84046_240619_124816_s1/136185297/ccs,0,0,0,0,0,0,0,0,0,0,1
m84046_240619_124816_s1/78254505/ccs,0,0,0,0,0,0,0,0,1,1,0
m84046_240619_124816_s1/182517919/ccs,0,0,1,0,0,0,0,0,0,0,1
m84046_240619_124816_s1/150668124/ccs,0,0,0,0,0,0,0,0,0,0,1
m84046_240619_124816_s1/24970193/ccs,0,0,0,1,0,0,0,0,0,1,1
m84046_240619_124816_s1/226825344/ccs,0,0,0,0,0,0,0,0,0,0,1
